"","AZUAY","BOLIVAR","CAÑAR","CARCHI","CHIMBORAZO","COTOPAXI","EL ORO","ESMERALDAS","GALAPAGOS","GUAYAS","IMBABURA","LOJA","LOS RIOS","MANABI","MORONA SANTIAGO","NAPO","ORELLANA","PASTAZA","PICHINCHA","SANTA ELENA","SANTO DOMINGO DE LOS TSACHILAS","SUCUMBIOS","TUNGURAHUA","ZAMORA CHINCHIPE"
"1",81909,8628,14983,9076,25487,26607,29616,25187,3161,374288,29223,32392,32565,66299,6339,5245,5095,5367,542882,7726,16871,8650,39055,5284
"2",95932,9997,18581,10400,28534,30842,40750,29132,4021,432107,34504,37298,38006,92180,8208,6508,7417,6129,627446,10355,22432,11874,50900,6934
"3",110188,11295,22583,11665,32926,35210,51541,32224,4694,498721,39937,41037,44326,113635,9429,7858,9685,7139,700424,13107,28221,14848,59249,8308
"4",127023,12523,25425,12735,37950,39398,61637,35240,5528,568338,45812,44308,50838,132653,10825,9416,10919,8068,777763,16176,32890,17596,69240,9622
"5",141098,13548,27453,14024,40801,45167,71765,38373,6242,639782,50294,48547,56916,154674,12018,10699,12978,9010,833374,19259,37296,19682,76459,11045
"6",154926,14479,30760,15087,44867,48622,84703,42716,6987,706397,54586,52542,63318,177302,13251,11671,15800,9755,899001,21276,41573,22061,84437,12696
"7",170813,15368,33316,15899,48270,51730,95063,45301,7705,769137,57515,54891,68642,201178,14533,12578,17231,10747,961875,23919,46081,24397,91784,13800
"8",184455,16152,35817,17011,50844,55578,105388,48407,8431,820330,61707,58733,73495,212853,16050,13660,19231,11478,1020429,26659,50568,25961,98376,14889
"9",195271,17041,38890,18411,53385,59520,115608,52676,9110,874632,65321,62606,75709,225835,17218,14855,20496,12312,1091065,28681,55310,27156,104892,16166
"10",206616,17642,41410,19421,55812,63446,126779,55670,9658,928483,68566,66366,80670,249992,18505,15601,22504,13212,1145741,31243,59530,29430,112777,17589
