"","AZUAY","BOLIVAR","CAÑAR","CARCHI","CHIMBORAZO","COTOPAXI","EL ORO","ESMERALDAS","GALAPAGOS","GUAYAS","IMBABURA","LOJA","LOS RIOS","MANABI","MORONA SANTIAGO","NAPO","ORELLANA","PASTAZA","PICHINCHA","SANTA ELENA","SANTO DOMINGO DE LOS TSACHILAS","SUCUMBIOS","TUNGURAHUA","ZAMORA CHINCHIPE"
"1",160414.715719743,14642.7307873558,28861.0448375399,17620.9963533965,47877.739234073,50086.1663926651,96369.9987100641,47125.1411334675,7183.95978501888,737084.91209086,57054.9193539149,58796.4625767073,65707.0939769166,154192.898983427,13791.5730011243,12253.5644026669,17979.2251030066,10987.787013391,1007665.23645373,24490.2774564948,46791.6050420168,23074.2405947794,84484.6609962041,13952.2490032988
"2",161668.261824339,14432.0033972892,29045.2157403708,17784.8923118504,50083.2421353599,50106.9711588898,97102.8808127746,45798.4702701681,7181.29195895205,741656.626751253,57459.1300797812,59369.5057453963,66166.9962924531,154561.533714439,13373.9476951156,12011.4218452887,17750.7404291299,10837.6857834536,1006955.58482414,24666.7164631725,47181.2100840336,22774.0727338287,84976.7541414241,13332.582494989
"3",161360.229369487,15307.6040015747,29213.5679059786,17864.5703814129,50237.6908017235,49967.5913814958,97280.0366476965,45554.5354643839,7229.138720523,743950.077169752,58299.109258636,59384.2630882122,66626.8986079896,155556.686125704,13701.255300146,12047.6066644977,17789.9749981569,11090.7075055317,1014320.23441595,24875.1222725951,47570.8151260504,23134.3798343232,85430.5254660439,13896.7078682784
"4",161442.894140381,15483.6030455697,28956.8030310749,17944.2484509754,49260.8903095756,49728.631284663,97539.9067496155,45367.2641264299,7245.07400070099,742075.688078837,58495.6264346517,59355.125626797,67086.8009235261,156128.017582406,13819.3342313252,11929.8607471721,18328.3752787681,11081.7327389525,1014790.39037256,25078.4145691843,47960.4201680672,23139.8053681715,85342.6934890546,14131.3540409811
"5",162128.040879426,15258.7976125196,29213.3411449341,18023.9265205379,48826.4196048547,50147.3747419525,98331.4624808206,47252.1024781862,7301.6022033922,748201.56029419,58699.1655299423,59584.3522339377,67546.7032390626,157079.195484444,13769.443357808,12058.4280379319,18277.8541341925,11134.2168401017,1017379.3800383,25282.5248397732,48350.025210084,23211.5721988345,85916.2952512371,14084.0813324721
"6",162323.594458357,15563.7401111233,29622.0620398386,18103.6045901004,49344.1148118174,50622.2204863411,98262.6714226507,48135.8819867916,7385.68525208188,756801.150743502,59078.7038625491,58929.9405125981,68006.6055545991,159890.44508772,13635.1430065458,12193.4621462644,19016.5158333312,11277.2148260164,1023894.91997908,25486.5042646037,48739.6302521008,23404.7124006043,86347.8879702697,13869.2729022627
"7",163018.260088222,15162.6329171606,31804.3281214633,18183.2826596629,50084.0812500128,50556.3273374144,99086.5847754033,46807.5498807271,7402.08990391187,748620.094729747,58936.7950040634,59387.4140161562,68466.5078701356,160787.587127174,13725.1786763607,12102.3859933577,18913.5651813427,11270.8305767263,1025183.97843306,25690.5046199437,49129.2352941177,23675.8854081128,86319.7534822428,14199.67564093
"8",164040.858619789,15659.8659983441,31831.7871863922,18262.9607292255,50402.6775175545,50612.5111983447,100685.30974174,45940.6061299358,7523.42649315718,763121.616177792,59128.8345880568,60198.9041458055,68926.4101856721,163261.261281533,14057.8257308484,12264.8270950557,18960.4829522586,11015.6118384008,1032989.19080345,25894.5016271719,49518.8403361345,23637.5383498041,86722.9807725158,14228.9685058175
"9",165538.758532985,15725.0685831004,32943.3017236721,18342.638798788,50357.9115637718,51629.9073412934,101631.519163323,47797.7018503311,7590.64424435628,766671.847680338,59985.834388293,60808.0394050232,69386.3125012086,162257.478583579,14176.4141275428,12033.0980036539,18848.7734901197,11398.8268473077,1040535.63438752,26098.4991699748,49908.4453781513,23940.7143461041,87555.0525250976,14965.4425801047
"10",166554.62901323,16030.0936507597,33369.0057881274,18422.3168683505,50351.2329917638,52187.9331719612,102240.284141643,48476.1592080979,7662.22398269612,770928.206648479,60260.3274722311,61181.0107992964,69846.2148167451,165052.409862208,14256.2506388021,12439.8215347966,19104.3078622018,11520.2441578879,1046381.8783614,26302.4966271055,50298.0504201681,24278.9406460349,88012.4003020325,15376.9747485684
"11",166892.208370903,16092.4997706734,33408.2754784595,18501.994937913,50574.1791755784,52300.5552308855,102669.378397335,48826.9057300447,7705.10469164223,775039.67907344,60402.3353192103,61576.4919674859,70306.1171322816,166076.450496957,14291.8851067902,12404.6904303243,19450.8214471675,11521.1056995184,1050416.50831184,26506.4940979406,50687.6554621849,24297.1858891025,88365.1449967907,15240.5384320855
"12",167051.329047353,15125.3688309389,31562.8491720957,18581.6730074755,50903.8694149149,51846.1782959879,102460.184656632,49382.0874049677,7717.15779754395,771820.435094494,60353.9610279735,61325.5892022969,70766.0194478181,163680.00201477,14049.5027876814,12421.1675074206,19021.6086017819,11391.5047538548,1047038.93497688,26710.4915665835,51077.2605042017,24096.2762063547,88452.7292142325,14925.4250932975
"13",167549.991250093,15408.5762122268,30840.0878830544,18661.351077038,51161.6979944553,51918.8228809204,103035.402860547,49260.0805154586,7774.66214944417,776837.172190826,60594.7999407498,61575.1300055813,71225.9217633546,164719.349802979,14273.9370073295,12497.4761889403,19305.3890577337,11531.0755343476,1053783.95658926,26914.489035577,51466.8655462185,24422.2905038836,88852.2902789269,15042.2543345825
"14",168234.041166649,15121.7553480995,31023.0038546588,18741.0291466005,51318.0966917283,52144.0242469216,103610.621064463,49274.8991052935,7825.74327486526,780087.097660243,60910.8414988802,61824.6708088657,71685.8240788911,165212.103623167,13893.0020948664,12549.3196730301,19516.0323026807,11582.6108430597,1055756.83347097,27118.4865045145,51856.4705882353,23976.1521314144,89251.8513436214,15136.2746400469
"15",168806.310655586,15997.5581524174,31191.3409939277,18820.707216163,51458.8948152517,52369.2256129227,104185.839268378,49369.0302590466,7883.38975831947,783337.023129659,61203.7010923193,62074.2116121501,72145.7263944276,166195.104126307,14182.68071194,12611.1669985855,19615.6196289663,11634.1461517718,1061569.60395813,27322.4839734609,52246.0756302521,24565.3727622827,89651.4124083159,15221.4054305584
"16",169379.31212288,16173.7466579194,30934.575939101,18900.3852857255,51649.1022490753,52594.4269789239,104761.057472294,49509.1359113027,7936.89978282527,786586.948599075,61448.6718331267,62323.7524154345,72605.628709964,166824.251853353,14251.694962115,12668.9237442731,19779.3766999899,11685.6814604839,1064046.95466406,27526.4814424059,52635.6806722689,24394.3703517292,90050.9734730104,15303.0716369823
"17",170039.387581473,15949.1187503733,31191.1140508059,18980.063355288,51875.9193262552,52819.6283449251,105336.275676209,49675.8912443683,7995.68079301685,789836.874068492,61675.0859683588,62573.2932187189,73065.5310255005,167746.184295948,14308.0484024824,12728.3531317866,19906.0555478141,11737.216769196,1068522.03990428,27730.4789113511,53025.2857142857,24591.2909600098,90450.5345377048,15383.3875624333
"18",170584.581750552,16254.2275904415,31599.8349456846,19059.7414248505,52094.9119156066,53044.8297109262,105911.493880125,49858.0943911214,8058.03941141127,793086.799537908,61907.1671242097,62822.8340220033,73525.433341037,170046.795764021,14179.329924461,12787.0985745372,20054.1587388586,11788.752077908,1075655.42689431,27934.4763802963,53414.8907563025,24804.6065281475,90850.0956023993,15463.1772317276
